"cell","longitude","latitude","sdm_suitability","temperature_mean_current","temperature_range_current","salinity_range_current","ph_mean_current","sea_water_speed_mean_current","sea_water_speed_range_current","temperature_mean_future","temperature_range_future","salinity_range_future","ph_mean_future","sea_water_speed_mean_future","sea_water_speed_range_future"
206032,28.7749987263651,33.6250007629395,0.184297546744347,21.5201206207275,11.3456010818481,1.19804358482361,8.06940269470215,0.147391155362129,0.202147334814072,22.8080940246582,13.4036493301392,2.42761588096619,7.98381567001343,0.151687458157539,0.180482015013695
206142,34.2749985401447,33.6250007629395,0.231262937188148,22.8576831817627,12.4441051483154,1.64651310443878,8.0596923828125,0.0177925638854504,0.0452982373535633,24.1451930999756,13.9360151290894,2.65689945220947,7.97819852828979,0.0310070868581533,0.076039545238018
206526,11.2249993205776,33.5750007629395,0.813874363899231,21.5956268310547,17.4236640930176,1.88601422309875,8.04494667053223,0.0150089832022786,0.0164269935339689,22.5736255645752,19.107364654541,2.46099710464478,7.95933771133423,0.0113137234002352,0.00396530097350478
206626,16.2249991512863,33.5750007629395,0.342661321163177,21.7642784118652,13.2384204864502,0.993076860904694,8.04835033416748,0.0289745982736349,0.0653100460767746,22.8101100921631,14.7292919158936,1.3782662153244,7.96456384658813,0.0426899492740631,0.0903322696685791
206737,21.7749989633729,33.5750007629395,0.250271648168564,21.2509765625,12.4229097366333,1.25248682498932,8.058424949646,0.1126679033041,0.0439675450325012,22.4329490661621,13.8158893585205,2.15106129646301,7.97405576705933,0.124829240143299,0.0199019126594067
206847,27.2749987771525,33.5750007629395,0.177358269691467,21.2460117340088,11.610013961792,1.25335586071014,8.0711030960083,0.0993578881025314,0.0565650835633278,22.5391445159912,13.4100141525269,2.32747721672058,7.98515510559082,0.0982416570186615,0.106670781970024
206958,32.8249985892392,33.5750007629395,0.206316694617271,22.4831504821777,12.1693267822266,1.16979920864105,8.06295585632324,0.0305617619305849,0.105461061000824,23.782621383667,13.8577117919922,2.40784239768982,7.98090982437134,0.0206934455782175,0.0676604881882668
207361,10.7249993375067,33.5250007629395,0.916735529899597,21.6080684661865,18.7903079986572,2.55299210548401,8.05311012268066,0.00394552061334252,0.00482161203399301,22.577033996582,20.6476440429688,3.14407873153687,7.96784019470215,0.000880310253705829,0.00124817667528987
207376,11.474999312113,33.5250007629395,0.734963953495026,21.5462551116943,16.4729690551758,1.70527446269989,8.04425048828125,0.00893129222095013,0.0234105139970779,22.5301647186279,18.1078968048096,2.35575890541077,7.95849800109863,0.00864535570144653,0.021569823846221
207441,14.7249992020737,33.5250007629395,0.355015397071838,21.8116111755371,13.3368892669678,1.12176334857941,8.04728698730469,0.023944478482008,0.0351450629532337,22.8557929992676,15.2305183410645,1.83894336223602,7.9628791809082,0.0262609925121069,0.0596093460917473
